creation_date,el_model,yp,indices,label,matching,result_date
[57][M][readings/Sat-09-12-2023/2023-12-08T15-22-10],Magic,"[[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0]]","[39, 40, 53, 56, 58]","[15, 27, 33, 44, 46, 59, 30]",[],Sat-09-12-2023
[58][M][readings/Wed-13-12-2023/2023-12-12T15-10-48],Magic,"[[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0]]","[11, 41, 50, 56, 57]","[10, 28, 31, 34, 43, 48, 57]",[57],Wed-13-12-2023
[59][M][readings/Wed-13-12-2023/2023-12-12T15-23-00],Magic,"[[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1
  1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]","[9, 26, 35, 36, 38]","[10, 28, 31, 34, 43, 48, 57]",[],Wed-13-12-2023
[60][M][readings/Sat-16-12-2023/2023-12-15T15-16-25],Magic,"[[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0]]","[6, 25, 45, 49, 56]","[4, 12, 23, 30, 50, 56, 8]",[56],Sat-16-12-2023
[61][M][readings/Sat-16-12-2023/2023-12-15T15-39-06],Magic,"[[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
  0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]","[10, 18, 29, 39, 40]","[4, 12, 23, 30, 50, 56, 8]",[],Sat-16-12-2023
[62][M][readings/Wed-20-12-2023/2023-12-19T23-16-47],Magic,"[[0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]","[4, 11, 21, 39, 40]","[4, 8, 11, 46, 50, 53, 16]","[4, 11]",Wed-20-12-2023
[63][M][readings/Wed-20-12-2023/2023-12-19T23-31-16],Magic,"[[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0]]","[11, 16, 25, 40, 58]","[4, 8, 11, 46, 50, 53, 16]","[11, 16]",Wed-20-12-2023
[64][M][readings/Sat-23-12-2023/2023-12-23T10-10-28],Magic,"[[0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0]]","[4, 21, 40, 47, 49]","[17, 29, 31, 40, 47, 56, 44]","[40, 47]",Sat-23-12-2023
[65][M][readings/Sat-23-12-2023/2023-12-23T10-22-45],Magic,"[[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0]]","[22, 25, 40, 46, 58]","[17, 29, 31, 40, 47, 56, 44]",[40],Sat-23-12-2023
[66][M][readings/Sat-30-12-2023/2023-12-30T12-09-49],Magic,"[[0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0]]","[4, 8, 27, 45, 55]","[15, 26, 29, 37, 49, 53, 38]",[],Sat-30-12-2023
